step,agent_y,agent_x,agent_load,rew,action,put/take
407,0,2,2,6.5,1,take
408,0,3,2,-1.0,2,walk
409,0,4,2,-1.0,2,walk
410,1,4,3,6.5,3,take
411,2,4,3,-1.0,3,walk
412,2,3,3,-1.0,4,walk
413,2,2,3,-1.0,4,walk
414,2,1,3,-1.0,4,walk
415,2,0,0,21.5,4,put
416,2,1,0,-1.0,2,walk
417,2,2,0,-1.0,2,walk
418,2,3,1,6.5,2,take
419,1,3,1,-1.0,1,walk
420,1,2,1,-1.0,4,walk
421,0,2,2,6.5,1,take
422,0,3,2,-1.0,2,walk
423,0,4,3,6.5,2,take
424,1,4,3,-1.0,3,walk
425,2,4,3,-1.0,3,walk
426,2,3,3,-1.0,4,walk
427,2,2,3,-1.0,4,walk
428,2,1,3,-1.0,4,walk
429,2,0,0,21.5,4,put
430,2,1,0,-1.0,2,walk
431,2,2,0,-1.0,2,walk
432,3,2,1,6.5,3,take
433,3,3,1,-1.0,2,walk
434,4,3,2,6.5,3,take
435,4,3,2,0.0,0,stay
436,4,3,2,0.0,0,stay
437,4,3,2,0.0,0,stay
438,4,3,2,0.0,0,stay
439,4,2,2,-1.0,4,walk
440,4,1,2,-1.0,4,walk
441,3,1,2,-1.0,1,walk
442,2,1,2,-1.0,1,walk
443,1,1,3,6.5,1,take
444,1,0,3,-1.0,4,walk
445,2,0,0,21.5,3,put
446,2,1,0,-1.0,2,walk
447,2,2,0,-1.0,2,walk
448,2,3,0,-1.0,2,walk
449,2,4,0,-1.0,2,walk
450,3,4,1,6.5,3,take
451,2,4,1,-1.0,1,walk
452,2,3,1,-1.0,4,walk
453,1,3,1,-1.0,1,walk
454,1,2,1,-1.0,4,walk
455,0,2,2,6.5,1,take
456,0,1,2,-1.0,4,walk
457,0,0,2,-1.0,4,walk
458,1,0,3,6.5,3,put
459,2,0,0,21.5,3,put
460,2,1,0,-1.0,2,walk
461,3,1,1,6.5,3,take
462,3,2,1,-1.0,2,walk
463,4,2,2,6.5,3,take
464,4,3,2,-1.0,2,walk
465,4,4,2,-1.0,2,walk
466,3,4,3,6.5,1,take
467,3,3,3,-1.0,4,walk
468,3,2,3,-1.0,4,walk
469,3,1,3,-1.0,4,walk
470,3,0,3,-1.0,4,walk
471,2,0,0,21.5,1,put
472,2,1,0,-1.0,2,walk
473,2,2,0,-1.0,2,walk
474,1,2,1,6.5,1,take
475,1,3,1,-1.0,2,walk
476,0,3,2,6.5,1,take
477,1,3,2,-1.0,3,walk
478,2,3,2,-1.0,3,walk
479,3,3,3,6.5,3,take
480,3,2,3,-1.0,4,walk
481,3,1,3,-1.0,4,walk
482,3,0,3,-1.0,4,walk
483,2,0,0,21.5,1,put
484,1,0,1,6.5,1,take
485,1,0,1,0.0,0,stay
486,1,0,1,0.0,0,stay
487,1,0,1,0.0,0,stay
488,1,0,1,0.0,0,stay
489,1,1,1,-1.0,2,walk
490,2,1,1,-1.0,3,walk
491,3,1,1,-1.0,3,walk
492,3,2,1,-1.0,2,walk
493,4,2,2,6.5,3,take
494,4,1,2,-1.0,4,walk
495,3,1,2,-1.0,1,walk
496,2,1,2,-1.0,1,walk
497,1,1,2,-1.0,1,walk
498,0,1,3,6.5,1,take
499,0,0,3,-1.0,4,walk
500,1,0,3,-1.0,3,walk
501,2,0,0,21.5,3,put
502,2,1,0,-1.0,2,walk
503,2,2,0,-1.0,2,walk
504,2,3,0,-1.0,2,walk
505,2,4,0,-1.0,2,walk
506,3,4,1,6.5,3,take
507,2,4,1,-1.0,1,walk
508,2,3,1,-1.0,4,walk
509,1,3,1,-1.0,1,walk
510,0,3,2,6.5,1,take
511,1,3,2,-1.0,3,walk
512,2,3,2,-1.0,3,walk
513,3,3,2,-1.0,3,walk
514,4,3,3,6.5,3,take
515,4,2,3,-1.0,4,walk
516,4,1,3,-1.0,4,walk
